year,team,coach,sport,Jersey,Player,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,Avg,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,G,DQ,Dbl Dbl,Tech Fouls,Trpl Dbl
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,1,"Miller, Kendall",So,G,5-9,30,5,586:26,58,142,40.85,8,33,24.24,6,14,42.86,130,1.40,5,37,42,39,36,11,3,47,30,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,1,"Miller, Kendall",So,G,5-9,30,5,586:26,58,142,40.85,8,33,24.24,6,14,42.86,130,1.40,5,37,42,39,36,11,3,47,30,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,3,"Edmonds, Shaunay",Sr,G,5-4,30,29,786:54,102,269,37.92,23,81,28.40,72,105,68.57,299,2.67,14,66,80,76,78,48,2,60,30,1,1,1,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,3,"Edmonds, Shaunay",Sr,G,5-4,30,29,786:54,102,269,37.92,23,81,28.40,72,105,68.57,299,2.67,14,66,80,76,78,48,2,60,30,1,1,1,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,24,"Vari, Caitli",Sr,F,6-1,30,30,817:05,79,181,43.65,,1,0.00,32,62,51.61,190,6.20,64,122,186,35,45,18,21,83,30,3,3,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,24,"Vari, Caitli",Sr,F,6-1,30,30,817:05,79,181,43.65,,1,0.00,32,62,51.61,190,6.20,64,122,186,35,45,18,21,83,30,3,3,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,5,"Reinoehl, Haliegh",Sr,F,6-1,30,30,971:23,153,361,42.38,45,141,31.91,96,125,76.80,447,7.93,70,168,238,34,62,23,12,93,30,2,9,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,5,"Reinoehl, Haliegh",Sr,F,6-1,30,30,971:23,153,361,42.38,45,141,31.91,96,125,76.80,447,7.93,70,168,238,34,62,23,12,93,30,2,9,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,25,"Dawson, Jordy",Jr,F,5-11,29,26,748:21,148,337,43.92,22,62,35.48,72,103,69.90,390,7.21,42,167,209,74,91,53,15,88,29,3,7,3,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,25,"Dawson, Jordy",Jr,F,5-11,29,26,748:21,148,337,43.92,22,62,35.48,72,103,69.90,390,7.21,42,167,209,74,91,53,15,88,29,3,7,3,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,20,"Brown-Mitchell, Gabrielle",So,G,5-7,28,,321:10,20,61,32.79,8,30,26.67,10,12,83.33,58,1.36,4,34,38,13,15,10,1,35,28,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,20,"Brown-Mitchell, Gabrielle",So,G,5-7,28,,321:10,20,61,32.79,8,30,26.67,10,12,83.33,58,1.36,4,34,38,13,15,10,1,35,28,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,13,"Brewer, Lonasia",Fr,F,5-11,28,,226:12,26,63,41.27,,1,0.00,7,16,43.75,59,1.14,15,17,32,4,25,6,10,34,28,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,13,"Brewer, Lonasia",Fr,F,5-11,28,,226:12,26,63,41.27,,1,0.00,7,16,43.75,59,1.14,15,17,32,4,25,6,10,34,28,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,12,"Harmon, Shayna",Sr,G,5-9,27,26,740:45,60,153,39.22,26,69,37.68,27,32,84.38,173,3.41,11,81,92,59,55,29,6,39,27,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,12,"Harmon, Shayna",Sr,G,5-9,27,26,740:45,60,153,39.22,26,69,37.68,27,32,84.38,173,3.41,11,81,92,59,55,29,6,39,27,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,02,"Clay, Alyssa",Sr,G,5-9,25,4,443:44,44,123,35.77,37,100,37.00,16,19,84.21,141,1.60,1,39,40,9,24,8,4,21,25,,0,1,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,02,"Clay, Alyssa",Sr,G,5-9,25,4,443:44,44,123,35.77,37,100,37.00,16,19,84.21,141,1.60,1,39,40,9,24,8,4,21,25,,0,1,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,33,"Neitzel, Collee",So,F,6-1,19,,129:55,14,46,30.43,7,29,24.14,8,11,72.73,43,1.79,10,24,34,8,11,5,2,29,19,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,33,"Neitzel, Collee",So,F,6-1,19,,129:55,14,46,30.43,7,29,24.14,8,11,72.73,43,1.79,10,24,34,8,11,5,2,29,19,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,21,"Neitzel, Molly",Fr,G,6-0,16,,56:11,3,15,20.00,1,7,14.29,1,2,50.00,8,0.56,1,8,9,2,3,,1,9,16,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,21,"Neitzel, Molly",Fr,G,6-0,16,,56:11,3,15,20.00,1,7,14.29,1,2,50.00,8,0.56,1,8,9,2,3,,1,9,16,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,14,"Martindale, Rachel",Fr,G,5-8,15,,196:54,19,43,44.19,16,38,42.11,7,8,87.50,61,0.33,,5,5,14,8,5,2,9,15,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,14,"Martindale, Rachel",Fr,G,5-8,15,,196:54,19,43,44.19,16,38,42.11,7,8,87.50,61,0.33,,5,5,14,8,5,2,9,15,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,2,"Bryant, Alexes",Sr,F,6-3,30,29,883:20,153,324,47.22,8,36,22.22,65,90,72.22,379,6.73,70,132,202,49,68,29,54,50,30,,3,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,2,"Bryant, Alexes",Sr,F,6-3,30,29,883:20,153,324,47.22,8,36,22.22,65,90,72.22,379,6.73,70,132,202,49,68,29,54,50,30,,3,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,11,"Tecca, Emma",Fr,G,5-10,1,,,,,,,,,,,,,,,,,,,,,,1,,0,,0
2019-20,Akron Zips,Melissa Jackson,Women's Basketball,11,"Tecca, Emma",Fr,G,5-10,1,,,,,,,,,,,,,,,,,,,,,,1,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,21,"Young, Emma",Sr,G,5-10,30,28,903:09,96,218,44.04,19,64,29.69,80,99,80.81,291,5.03,42,109,151,76,87,35,2,75,30,,1,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,21,"Young, Emma",Sr,G,5-10,30,28,903:09,96,218,44.04,19,64,29.69,80,99,80.81,291,5.03,42,109,151,76,87,35,2,75,30,,1,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,22,"Booth, Dalesia",Sr,F,5-9,30,30,967:40,136,296,45.95,15,61,24.59,91,121,75.21,378,5.03,36,115,151,60,68,45,38,55,30,1,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,22,"Booth, Dalesia",Sr,F,5-9,30,30,967:40,136,296,45.95,15,61,24.59,91,121,75.21,378,5.03,36,115,151,60,68,45,38,55,30,1,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,13,"Westbrook, Alecia",Fr,F,6-1,29,11,562:04,53,102,51.96,,1,0.00,53,77,68.83,159,4.69,30,106,136,19,27,39,30,54,29,1,1,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,13,"Westbrook, Alecia",Fr,F,6-1,29,11,562:04,53,102,51.96,,1,0.00,53,77,68.83,159,4.69,30,106,136,19,27,39,30,54,29,1,1,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,34,"Matthews, Tiara",Sr,F,5-10,29,16,522:06,60,127,47.24,,,,20,32,62.50,140,4.21,50,72,122,27,42,18,3,66,29,1,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,34,"Matthews, Tiara",Sr,F,5-10,29,16,522:06,60,127,47.24,,,,20,32,62.50,140,4.21,50,72,122,27,42,18,3,66,29,1,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,1,"Wright, Giana",Jr,G,5-11,28,1,309:05,20,43,46.51,,3,0.00,20,29,68.97,60,1.61,20,25,45,11,19,6,,35,28,,0,,0
