teamName,season,sport,headCoach,date,opponent,result,attendance
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,11/05/2019, St. Thomas (TX),W 75-55 ,715
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,11/08/2019, Missouri St.,L 51-79 ,"1,523"
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,11/14/2019, South Alabama,L 82-83 (2 OT),318
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,11/15/2019, Prairie View,W 64-52 ,335
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,11/23/2019, UTRGV,W 61-50 ,"1,002"
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,11/26/2019,W 63-49 ,W 63-49 ,"1,128"
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,11/30/2019, Texas St.,L 48-57 ,"1,427"
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,12/07/2019,W 90-52 ,W 90-52 ,977
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,12/12/2019, UTRGV,W 59-54 ,872
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,12/18/2019, Nicholls St.,W 55-49 ,868
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,12/21/2019, Central Ark.,W 67-47 ,700
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,12/29/2019, Texas A&M,L 48-85 ,"3,804"
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,01/02/2020, Northwestern St.,W 72-59 ,545
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,01/04/2020, Southeastern La.,L 44-48 ,433
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,01/08/2020, SFA,L 44-66 ,706
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,01/11/2020, Abilene Christian,W 70-58 ,"1,045"
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,01/18/2020, Lamar University,W 49-39 ,"1,517"
