teamName,season,sport,headCoach,stat,rank,value
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Scoring Offense,242,61.4
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Scoring Defense,18,55.6
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Scoring Margin,92,5.8
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Field-Goal Percentage,52,43.3
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Free-Throw Percentage,178,69.6
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Three-Point Field-Goal Percentage,287,28.4
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Rebound Margin,38,6.1
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Turnover Margin,203,-0.53
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Turnovers Per Game,288,18.0
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Assist Turnover Ratio,287,0.65
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Field-Goal Percentage Defense,45,36.7
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Three Pt FG Defense,33,28.0
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Blocked Shots Per Game,29,4.8
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Steals Per Game,49,9.6
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Personal Fouls Per Game,T-73,15.4
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Assists Per Game,T-259,11.7
A&M-Corpus Christi Islanders,2019-20,Women's Basketball,Royce Chadwick,Three-Point Field Goals Per Game,345,2.7
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Scoring Offense,141,66.6
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Scoring Defense,220,66.1
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Scoring Margin,184,0.5
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Field-Goal Percentage,139,40.5
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Free-Throw Percentage,179,69.5
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Three-Point Field-Goal Percentage,102,32.6
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Rebound Margin,207,-0.9
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Turnover Margin,168,0.30
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Turnovers Per Game,T-155,15.5
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Assist Turnover Ratio,189,0.79
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Field-Goal Percentage Defense,148,39.4
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Three Pt FG Defense,47,28.8
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Blocked Shots Per Game,T-231,2.6
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Steals Per Game,216,7.2
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Personal Fouls Per Game,264,18.2
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Assists Per Game,T-226,12.2
Akron Zips,2019-20,Women's Basketball,Melissa Jackson,Three-Point Field Goals Per Game,121,6.4
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Corner Kicks Per Game,35,6.05
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Scoring Offense,T-18,2.27
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Shot Accuracy,166,0.463
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Total Goals,T-14,50
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Goals-Against Average,18,0.608
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Shutout Percentage,25,0.545
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Save Pct,40,0.829
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Won-Lost-Tied Percentage,T-19,0.773
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Points Per Game,22,6.23
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Assists Per Game,53,1.68
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Saves Per Game,T-302,3.09
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Fouls Per Game,188,9.86
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Shots on Goal Per Game,14,8.41
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Total Points,21,137
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Shots Per Game,8,18.18
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Total Assists,T-38,37
South Alabama Jaguars,2019-20,Women's Soccer,Richard Moodie,Penalty Kicks,192,0.625
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Corner Kicks Per Game,114,4.83
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Scoring Offense,73,1.79
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Shot Accuracy,147,0.468
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Total Goals,T-40,43
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Goals-Against Average,2,0.324
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Shutout Percentage,3,0.708
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Save Pct,8,0.875
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Won-Lost-Tied Percentage,5,0.854
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Points Per Game,70,5.25
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Assists Per Game,T-54,1.67
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Saves Per Game,328,2.33
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Fouls Per Game,89,8.42
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Shots on Goal Per Game,154,5.88
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Total Points,33,126
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Shots Per Game,167,12.54
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Total Assists,T-31,40
South Carolina Gamecocks,2019-20,Women's Soccer,Shelley Smith,Penalty Kicks,T-163,0.667
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Corner Kicks Per Game,322,2.29
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Scoring Offense,219,1.14
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Shot Accuracy,6,0.575
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Total Goals,T-266,16
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Goals-Against Average,330,3.124
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Shutout Percentage,325,0.071
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Save Pct,332,0.620
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Won-Lost-Tied Percentage,309,0.214
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Points Per Game,241,2.86
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Assists Per Game,284,0.57
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Saves Per Game,154,4.43
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Fouls Per Game,18,6.71
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Shots on Goal Per Game,261,4.64
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Total Points,T-283,40
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Shots Per Game,319,8.07
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Total Assists,300,8
South Carolina St. Lady Bulldogs,2019-20,Women's Soccer,Sandra Burris,Penalty Kicks,T-245,0.000
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Corner Kicks Per Game,T-98,5.11
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Scoring Offense,T-111,1.58
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Shot Accuracy,228,0.439
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Total Goals,T-111,30
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Goals-Against Average,165,1.309
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Shutout Percentage,T-256,0.211
